,Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses
39,BRKM6,19.0,-5.41,3.1,0.289,0.0319,0.222,2.11,6.34,-0.37,15.03,5.96,0.0457,-0.0554,1.44,0.0473,-0.5727,2614.0
40,TCNO4,0.99,-5.24,4.38,6.476,0.0,0.027999999999999997,0.0,-0.96,0.0,-5.79,-6.75,-6.7698,-1.2362,0.0,0.0,-0.8357,73210.6
41,CEDO3,9.0,-5.13,0.52,0.133,0.0,0.12300000000000001,-8.64,978.26,-0.4,3339.95,15.04,0.0001,-0.0205,0.97,0.0001,-0.1017,1198.71
42,BRKM3,17.48,-4.98,2.85,0.266,0.048,0.205,1.94,5.83,-0.34,14.52,5.76,0.0457,-0.0554,1.44,0.0473,-0.5727,451126.0
43,CTKA4,9.7,-4.84,-0.22,0.17800000000000002,0.0,0.158,0.54,2.15,-0.14,20.28,14.49,0.0829,-0.0369,1.95,0.0841,0.0456,16588.3
44,VVAR3,5.15,-4.67,11.58,0.261,0.0,0.27399999999999997,-2.04,7.9,-0.59,13.25,6.49,0.0331,-0.0559,0.79,0.0537,-2.4792,681540000.0
45,BRKM5,16.29,-4.64,2.66,0.248,0.0515,0.191,1.81,5.44,-0.32,14.13,5.6,0.0457,-0.0554,1.44,0.0473,-0.5727,91964300.0
46,PINE4,3.34,-4.19,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1405,1369880.0
47,DTCY3,5.79,-4.15,9.68,3.878,0.0,1.5630000000000002,-5.33,-7.32,-2.47,-7.38,-14.78,-0.5295,-0.9342,0.41,-0.262,-2.3306,265.26
48,ADHM3,3.35,-4.07,-1.28,767.7589999999999,0.0,104.694,-1.42,-5.67,-1.27,-5.67,-5.79,-135.485,-188.606,0.0,5.2170000000000005,0.3147,232898.0
49,BSEV3,2.92,-3.84,13.37,0.502,0.0,0.29,15.2,8.21,-0.44,23.74,4.12,0.0612,-0.1309,1.06,0.0381,-3.4853,963464.0
50,TELB4,17.27,-3.61,0.52,4.194,0.0,0.19899999999999998,0.91,-2.8,-0.58,-0.91,-2.44,-1.4969,-1.1629,5.04,-0.09,-0.1442,180540.0
51,AHEB5,19.02,-3.36,5.26,1.246,0.0,0.545,-8.2,-3.36,-0.74,-2.72,-3.78,-0.3708,-0.3706,0.71,-0.1907,-1.5637,580.12
52,SPRI3,7.0,-3.19,0.51,0.0,0.0,0.47700000000000004,0.0,-3.16,0.0,-2.55,-2.57,0.0,0.0,0.0,0.0,-0.1592,2210.45
53,SPRI6,6.32,-2.88,0.46,0.0,0.0,0.431,0.0,-2.85,0.0,-2.25,-2.27,0.0,0.0,0.0,0.0,-0.1592,119.81
54,CEDO4,4.75,-2.71,0.28,0.07,0.0,0.065,-4.56,516.3,-0.21,2877.99,12.96,0.0001,-0.0205,0.97,0.0001,-0.1017,7477.64
55,AZUL4,16.3,-2.32,-1.58,0.48700000000000004,0.0,0.29,-2.05,-4.66,-0.3,-6.18,2.98,-0.1045,-0.21,0.6,-0.0742,0.6829,233812000.0
56,GSHP3,40.48,-2.28,17.86,0.561,0.0,0.046,0.63,1.77,-0.06,24.85,23.46,0.3168,-0.2465,1.54,0.0311,-7.8499,101841.0
57,LLIS3,5.75,-2.05,0.17,0.415,0.0621,0.092,-2.59,-2.01,-0.39,-7.1,-50.15,-0.2067,-0.2023,0.87,-0.0565,-0.0846,1575610.0
58,SHOW3,2.07,-1.97,0.5,0.355,0.0286,0.22399999999999998,1.05,-8.52,15.76,-5.25,99.01,-0.0416,-0.1823,1.6,-0.0442,-0.2551,1149390.0
